Area_Name,Year,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Andaman & Nicobar Islands,2001,27,64,755858,1321961
Andhra Pradesh,2001,3321,7134,51483437,147019348
Arunachal Pradesh,2001,66,248,825115,4931904
Assam,2001,539,2423,3722850,21466955
Bihar,2001,367,3231,2327135,17023937
Chandigarh,2001,119,364,1804823,10217378
Chhattisgarh,2001,1169,4144,6518261,30457033
Dadra & Nagar Haveli,2001,10,34,247140,1333389
Daman & Diu,2001,7,43,479300,2084845
Delhi,2001,642,3029,39632177,150033824
Goa,2001,65,347,895875,9991574
Gujarat,2001,1124,4928,20821285,141650158
Haryana,2001,1257,3098,27369980,64576543
Himachal Pradesh,2001,93,812,2936881,17092490
Jammu & Kashmir,2001,161,1345,2905184,27222163
Jharkhand,2001,186,1150,757019,9552273
Karnataka,2001,1768,6394,42221208,139393376
Kerala,2001,815,4185,21414046,131614945
Lakshadweep,2001,0,1,0,12000
Madhya Pradesh,2001,3526,13549,31332930,118549565
Maharashtra,2001,3595,13881,62519296,444283747
Manipur,2001,3,75,58311,2658341
Meghalaya,2001,50,170,324600,1354414
Mizoram,2001,188,417,1595997,3249203
Nagaland,2001,21,84,1413954,6922133
Odisha,2001,1388,3061,8474685,46361453
Puducherry,2001,34,111,549650,2857023
Punjab,2001,721,1902,14056644,73809455
Rajasthan,2001,1926,6867,35754908,117399424
Sikkim,2001,16,71,217600,861706
Tamil Nadu,2001,3227,5919,51446376,124908287
Tripura,2001,42,198,358200,3156795
Uttar Pradesh,2001,1081,6953,542439850,664903989
Uttarakhand,2001,78,533,1005993,9915454
West Bengal,2001,100,426,3066048,12787328
Andaman & Nicobar Islands,2002,13,49,201275,491892
Andhra Pradesh,2002,3166,7581,61296964,176224716
Arunachal Pradesh,2002,66,249,4414636,8057641
Assam,2002,484,2504,3594961,22146550
Bihar,2002,371,3182,2490854,20176572
Chandigarh,2002,83,336,3310301,13967262
Chhattisgarh,2002,902,3731,6998830,30830441
Dadra & Nagar Haveli,2002,13,38,1145571,2525660
Daman & Diu,2002,14,56,2429100,4539519
Delhi,2002,843,2360,7695881,131034713
Goa,2002,74,359,1753917,12622949
Gujarat,2002,1183,5153,21424048,181149074
Haryana,2002,1360,3048,28293801,66317650
Himachal Pradesh,2002,121,642,1595224,84519165
Jammu & Kashmir,2002,167,1321,3479429,31854450
Jharkhand,2002,220,1419,1208261,10289240
